#,address,date,lat,long
1,"3-й квартал Капотни, 3",28-30 марта,55.6357143,37.8021259
2,"4-й квартал Капотни, 9",28-30 марта,55.636395,37.7925727
3,"Авиаторов,6, к1",28-30 марта,55.6478967,37.3944628
4,"Адмирала Лазарева, 38",28-30 марта,55.5450776,37.524365
5,"Академика Комарова, 7а",28-30 марта,55.828914,37.592907
6,"Академическая большая,15к1",28-30 марта,55.8223595,37.5261415
7,"Алтайская, 34",28-30 марта,55.819694,37.8329446
8,"Алтуфьевское шоссе, 22А",28-30 марта,55.8606245,37.5867876
9,"Алтуфьевское шоссе, 88",28-30 марта,55.8990103,37.5888266
10,"Алтуфьевское шоссе, 56",28-30 марта,55.88094049999999,37.5878669
11,"Ангарская, 28к2",28-30 марта,55.87763469999999,37.5211305
12,"Ангелов переулок, 11к1",28-30 марта,55.8522276,37.3459004
13,"Артамонова, 13к2",28-30 марта,55.7183351,37.45425910000001
14,"Байкальская, 17, к1",28-30 марта,55.81746399999999,37.7956429
15,"Барышиха, 25, к2",28-30 марта,55.84575049999999,37.3462678
16,"Беловежская, 53, к2",28-30 марта,55.7097308,37.3971045
17,"Белореченская, 34к2",28-30 марта,55.6604898,37.77360230000001
18,"Бирюлевская, 56",28-30 марта,55.58293030000001,37.6686425
19,"Боровское шоссе, 2к5",28-30 марта,55.58719019999999,37.202542
20,"Буденного проспект, 24к2",28-30 марта,55.7650698,37.7320286
21,"Бутлерова, 2к1",28-30 марта,55.6535648,37.52272019999999
22,"Бутлерова, 36, к2",28-30 марта,55.6438742,37.5463907
23,"Варшавское шоссе, 128к1",28-30 марта,55.623245,37.6135426
24,"Варшавское шоссе, 152к2",28-30 марта,55.59341490000001,37.5993157
25,"Варшавской шоссе, 114к4",28-30 марта,55.63510119999999,37.6158618
26,"Вернадского проспект, 21к2",28-30 марта,55.6841636,37.5208754
27,"Верхняя Красносельская ул., 19",28-30 марта,55.781488,37.6645111
28,Вешневского Всеволода 4к1,28-30 марта,55.814069,37.5741091
29,"Вешняковская, 21/26",28-30 марта,55.7332669,37.8305957
30,"Вешняковская, 5к1",28-30 марта,55.7397325,37.8194949
31,"Волжский бульвар, 3к2",28-30 марта,55.718584,37.744328
32,"Волжский бульвар, 11",28-30 марта,55.7147708,37.7466422
33,"Востряковский проезд, 7к1",28-30 марта,55.5824906,37.6432035
34,800-летия Москвы 4к1,28-30 марта,55.8759809,37.5342221
35,"Врубеля, 8",28-30 марта,55.80584,37.4990631
36,"Генерала Белова, 53, к2",28-30 марта,55.6051324,37.7269298
37,Героев-Панфиловцев 3к1,28-30 марта,55.854132,37.4373501
38,"Главмосстроя, 10",28-30 марта,55.6533025,37.4106752
39,"Госпитальный вал, 3к2",28-30 марта,55.77184500000001,37.704062
40,"Грузинский переулок, 3Ас1",28-30 марта,55.7717688,37.5792447
41,"Давыдковская, 4к1",28-30 марта,55.7239405,37.4771975
42,"Декабристов, 35",28-30 марта,55.8616878,37.61328200000001
43,"Декабристов, 11",28-30 марта,55.866757,37.5987201
44,"Дмитровское шоссе, 52к2",28-30 марта,55.8478698,37.5705891
45,"Днепропетровская, 5к4",28-30 марта,55.6210262,37.6016249
46,"Ельнинская, 3",28-30 марта,55.735944,37.426967
47,"Жулебинский бульвар, 10/6",28-30 марта,55.698469,37.8499319
48,"Загородное шоссе, 7к1",28-30 марта,55.69452099999999,37.6143069
49,"Затонная, 5к3",28-30 марта,55.6811193,37.6833942
50,"Зачатьевский 1-й переулок, 1/15",28-30 марта,55.7392219,37.6054024
51,"Зелёный проспект, 56",28-30 марта,55.7507288,37.8147651
52,"Зубовский бульвар, 29",28-30 марта,55.7371495,37.5883355
53,"Ивантеевская, 3к3",28-30 марта,55.8221123,37.7186376
54,"Касаткина, 5",28-30 марта,55.8261054,37.6546674
55,"Катукова Маршала, 19к2",28-30 марта,55.80846159999999,37.4117666
56,"Каховка, 17/14",28-30 марта,55.6530003,37.5799215
57,"Керамический проезд, 57к3",28-30 марта,55.8779823,37.5656434
58,"Керамический проезд, 67к1",28-30 марта,55.8883162,37.5632801
59,"Кировоградская, 24к2",28-30 марта,55.6142215,37.6031963
60,"Коммунарка, Александры Монаховой, 92к2",28-30 марта,55.5436916,37.4890595
61,"Комсомольская площадь, 3",28-30 марта,55.7759541,37.6562823
62,"Средний Кондратьевский пер, 10",28-30 марта,55.77193219999999,37.5782572
63,"Коровинское шоссе, 31а",28-30 марта,55.8806601,37.5186861
64,"Коштоянца, 11",28-30 марта,55.678257,37.4923905
65,Красноярская 9,28-30 марта,55.8226565,37.8326184
66,"Красного маяка, 15а, с1",28-30 марта,55.6085599,37.5797457
67,"Кронштадтский бульвар, 3с3",28-30 марта,55.8400344,37.4862924
68,"Крылатские холмы, 39к2",28-30 марта,55.760514,37.4176403
69,"Кутузовский проспект, 35",28-30 марта,55.7403468,37.5383084
70,"Левобережная, 4к2",28-30 марта,55.8686292,37.47750140000001
71,"Ленинградский проспект, 33А",28-30 марта,55.78848199999999,37.5575
72,"Ленинградское шоссе, 3к1",28-30 марта,55.8087157,37.505576
73,"Ленинский проспект, 81",28-30 марта,55.6831678,37.5392718
74,"Ленинский проспект, 90",28-30 марта,55.67493040000001,37.524767
75,"Ленинский проспект,15",28-30 марта,55.7202346,37.5994359
76,"Ленинский проспект, 72/2",28-30 марта,55.6855895,37.5404637
77,"Ленинский проспект, 92",28-30 марта,55.670463,37.517778
78,"Лескова, 8",28-30 марта,55.897702,37.5949771
79,"Лобачевского, 94",28-30 марта,55.682063,37.4821061
80,"Ломоносовский проспект, 7к3",28-30 марта,55.6866157,37.5466703
81,"Лухмановская, 15к1",28-30 марта,55.7214756,37.8963587
82,"Малахитовая, 13к1",28-30 марта,55.8315931,37.6614121
83,"Мартеновская, 19/38",28-30 марта,55.75224350000001,37.8033248
84,"2-я Марьиной Рощи, 12",28-30 марта,55.7962167,37.619311
85,"Медынская, 14к2",28-30 марта,55.58261599999999,37.64585900000001
86,"Митинская, 10к1",28-30 марта,55.8396943,37.3777601
87,"3-й Михалковский пер., 19",28-30 марта,55.83587860000001,37.5243776
88,"Михневская, 8",28-30 марта,55.5796652,37.6711556
89,"Мичуринский пр-т, 11к2",28-30 марта,55.70020539999999,37.5090992
90,"Мичуринский проспект, 21к2",28-30 марта,55.699517,37.5060859
91,"Мичуринский проспект, 7к1",28-30 марта,55.700368,37.5126146
92,"Мосфильмовская, 74б",28-30 марта,55.71093260000001,37.5044401
93,"Мусоргского, 11б",28-30 марта,55.864827,37.6217569
94,"Нагорная, 13",28-30 марта,55.67968029999999,37.6079656
95,"Наметкина, 9к1",28-30 марта,55.66399999999999,37.5513501
96,"Наметкина, 9к3",28-30 марта,55.66399999999999,37.5513501
97,"Нарвская, 10",28-30 марта,55.8356046,37.5060445
